Brand,Product_Name,Processor,GPU,RAM,Storage,Display_Resolution,Refresh_Rate,Price,RAM_GB,Storage_GB,Refresh_Hz,CPU_Score,GPU_Score,Resolution_Score,Performance_Score
MSI,Titan 18 HX Dragon Edition Norse Myth A2XWJG,Intel Core Ultra 9 285HX,Nvidia GeForce RTX 5090 24GB,96GB DDR5 6400MHz 48GB*2,"6TB, 2TB NVMe PCIe Gen5x4 SSD w/o DRAM + 2TB NVMe PCIe Gen4x4 SSD x2",3840x2400,120 Hz,320000,96,10240,120,10,10.0,5,97.5
MSI,Katana 15 HX 14XWGK,Intel Core i9-14900HX,Nvidia GeForce RTX 5070 8GB,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,2560*1440,165 HZ,79999,16,1024,165,10,9.0,3,80.44
Acer,NITRO V15-ANV15-51-51H9,Intel Core I5-13420H,Nvidia GeForce RTX 4050 6GB,8 GB DDR5-SDRAM,512 GB SSD,1920x1080,144 Hz,39999,8,512,144,6,7.0,3,55.25
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,NVIDIA(R) GeForce RTX(TM) 5050,"16GB, 2x8GB, DDR5, 5600 MT/s ( 5200 MT/s with Intel Core 5 CP U)",512GB M.2 PCIe NVMe SSD,2560 x 1600,120 Hz,57999,16,512,120,8,8.0,4,67.5
Dell,Alienware 16 Aurora AC16250,Intel Core 9 270H,Nvidia GeForce RTX 5060 8GB,"16GB, 2x8GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,2560 x 1600,120 Hz,89999,16,1024,120,10,8.5,4,78.75
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,Nvidia GeForce RTX 5060,"32GB, 2x16GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,2560 x 1600,120 Hz,67999,32,1024,120,8,8.5,4,74.25
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,Nvidia GeForce RTX 5050,"16GB, 2x8GB, DDR5, 5600 MT/s ( 5200 MT/s with Intel Core 5 CP U)",1TB M.2 PCIe NVMe SSD,2560 x 1600,120Hz,57999,16,1024,120,8,8.0,4,70.0
HP,Victus 15-fa2318TX,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 3050,16 GB DDR4-3200 MT/s (1 x 16 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,40999,16,512,144,8,6.0,3,60.0
HP,Victus 16-r1042ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,1920 x 1080,144 Hz,51499,16,512,144,8,7.0,3,63.5
HP,Victus 15-FA2317TX,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 4050,16 GB DDR4-3200 MT/s (1 x 16 GB) Transfer rates up to 3200 MT/s. 1 x 16 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,47777,16,512,144,8,7.0,3,63.5
Lenovo,LOQ 15IAX9E,Intel® Core™ i5-12450HX,Nvidia GeForce RTX 3050 6GB,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,31999,16,512,144,6,6.0,3,53.0
HP,Victus 16-r1066ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,39666,16,1024,144,6,6.0,3,55.5
HP,Victus 16-r1062ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080),144 Hz,39666,16,1024,144,6,6.0,3,55.5
HP,Victus 15-fa1103ne,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,33999,8,512,144,6,6.0,3,51.75
HP,VICTUS 15-FA1112NIA,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,33999,8,512,144,6,6.0,3,51.75
HP,OMEN Slim 16-an0119nrav,Intel® Core™ Ultra 9 285H,NVIDIA® GeForce RTX™ 5070,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,2560 x 1600,240Hz,106999,16,1024,240,10,9.0,4,83.0
HP,OMEN 16-AP0097NR,AMD Ryzen™ AI 9 365,NVIDIA® GeForce RTX™ 5070,32 GB DDR5-5600 MT/s (2 x 16 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,2560 x 1600,240Hz,104999,32,1024,240,5,9.0,4,68.0
Lenovo,Legion 5 15IRX10,Intel® Core i9-14900HX,NVIDIA® GeForce RTX™ 5070,1x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2560x1600,165 HZ,107999,16,1024,165,10,9.0,4,81.44
ASUS,ROG Zephyrus G16 GA605KP-AI327W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5070 Laptop GPU,32GB LPDDR5X 7500 on board(Actual memory speeds may vary by CPU configuration.),1TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,240Hz,105200,32,1024,240,5,9.0,4,68.0
Lenovo,Legion Pro 7 16IAX10H,Intel® Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5080,2x 32GB CSODIMM DDR5-6400,2x 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560x1600,240 HZ,205000,32,1024,240,10,9.5,4,87.25
HP,Victus 16-r1046ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,53999,16,1024,144,8,7.0,3,66.0
ASUS,ROG Strix G16 G614PR-RV161W,AMD Ryzen™ 9 8940HX,NVIDIA® GeForce RTX™ 5070 Ti,16GB DDR5-5200 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,165 HZ,109300,16,1024,165,5,9.0,3,62.94
ASUS,ROG Strix G16 G614FP-GR169W,AMD Ryzen 9 9955HX,NVIDIA® GeForce RTX™ 5070,16GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,165 HZ,102000,16,1024,165,10,9.0,3,80.44
ASUS,TUF Gaming A16 FA608UH-RV007W,AMD Ryzen™ 7 260,NVIDIA® GeForce RTX™ 5050,16GB DDR5-5600 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,165 HZ,56199,16,512,165,5,8.0,3,56.94
ASUS,TUF Gaming A14 FA401KH-RG019W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5050,"16GB*2 LPDDR5X 7500 on board, Max Capacity",1TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,165 HZ,66999,16,1024,165,5,8.0,4,60.44
ASUS,TUF Gaming A14 FA401UU-RG028W,AMD Ryzen 7 8845HS,NVIDIA® GeForce RTX™ 4050 6GB,16GB 8GB*2 LPDDR5X 7500 on board,512GB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,165 HZ,48888,16,512,165,8,7.0,4,64.94
MSI,Crosshair 18 HX AI A2XWGKG,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5070 8GB,32GB,1TB SSD,2560x1600,240 HZ,94999,32,1024,240,10,9.0,4,85.5
MSI,Vector 17 HX AI A2XWJG,Intel Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5090 24GB,32GB DDR5-6400,1TB SSD,2560x1600,240 HZ,228337,32,1024,240,10,10.0,4,89.0
MSI,Raider 18 HX AI A2XWJG,Intel Core Ultra 9 285HX,Nvidia GeForce RTX 5090 24GB,64GB DDR5 6400MHz 32GB*2,2TB NVMe PCIe Gen5x4 SSD,3840 x 2400,120 Hz,249999,64,2048,120,10,10.0,5,97.5
Acer,Aspire 5 A515-57G-59VY,Intel Core i5-1235U,Nvidia GeForce RTX 2050 4GB,8GB DDR4 SDRAM,512GB PCIe NVMe SSD,1920x1080,,26699,8,512,60,6,5.0,3,46.5
HP,Victus 15-FA1023NIA,Intel Core i5-13500H,Nvidia GeForce RTX 3050 6GB,8 GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,34999,8,512,144,6,6.0,3,51.75
MSI,Thin 15 B2RVE,Intel Core 7 240H,Nvidia GeForce RTX 4050 6GB,16GB 2x 8GB,512GB M.2 SSD NVMe PCIe Gen4,1920 x 1080,144 Hz,41999,16,512,144,8,7.0,3,63.5
MSI,Katana 15 HX B14WFK,Intel® Core™ i7-14650HX,NVIDIA® GeForce RTX™ 5060 Laptop GPU,DDR5 8GB*2,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,2560*1440,,61999,8,512,60,8,8.5,3,65.75
MSI,Katana 15 HX B14WFK,Intel® Core™ i9-14900HX,NVIDIA® GeForce RTX™ 5060,16GB 8GB*2 DDR5,1TB NVMe PCIe SSD Gen4x4,2560*1440,165 HZ,69999,16,1024,165,10,8.5,3,78.69
Lenovo,LOQ 15ARP9,AMD Ryzen™ 7 7435HS,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,39999,12,512,144,5,7.0,3,52.38
HP,Victus 16-r0053nia,Intel® Core™ i7-13700H,NVIDIA® GeForce RTX™ 3050,16 GB DDR5-5200 MT/s,1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,42999,16,1024,144,8,6.0,3,62.5
